x1,y1,x2,y2
8.61162462,0.814377138,8.62136068,0.92842813
8.46370992,0.84519576,8.516268292,1.460879546
8.31579522,0.876014382,8.411175904,1.993330962
8.167880521,0.906833004,8.306083516,2.525782379
8.019965821,0.937651625,8.200991128,3.058233795
7.872051122,0.968470247,8.082151725,3.429648742
7.724136422,0.999288869,7.937153216,3.494628456
7.576221722,1.030107491,7.792154707,3.559608171
7.428307023,1.060926113,7.647156199,3.624587885
7.280392323,1.091744734,7.50215769,3.689567599
7.132477624,1.122563356,7.357159181,3.754547313
6.984562924,1.153381978,7.212160672,3.819527027
6.836648224,1.1842006,7.067162163,3.884506742
6.688733525,1.215019221,6.922163655,3.949486456
6.540818825,1.245837843,6.777165146,4.01446617
6.392904126,1.276656465,6.632166637,4.079445884
6.244989426,1.307475087,6.487168128,4.144425598
6.097074726,1.338293708,6.342169619,4.209405312
5.949160027,1.36911233,6.197171111,4.274385027
5.801245327,1.399930952,6.052172602,4.339364741
5.653330628,1.430749574,5.907174093,4.404344455
5.505415928,1.461568196,5.762175584,4.469324169
5.357501228,1.492386817,5.617177075,4.534303883
5.209586529,1.523205439,5.472178567,4.599283597
5.061671829,1.554024061,5.327180058,4.664263312
4.91375713,1.584842683,5.182181549,4.729243026
4.76584243,1.615661304,5.03718304,4.79422274
4.61792773,1.646479926,4.892184531,4.859202454
4.470013031,1.677298548,4.747186023,4.924182168
4.322098331,1.70811717,4.602187514,4.989161883
4.174183631,1.738935791,4.457189005,5.054141597
4.026268932,1.769754413,4.312190496,5.119121311
3.878354232,1.800573035,4.167191988,5.184101025
3.730439533,1.831391657,4.022193479,5.249080739
3.582524833,1.862210279,3.87719497,5.314060453
3.434610133,1.8930289,3.732196461,5.379040168
3.286695434,1.923847522,3.587197952,5.444019882
3.138780734,1.954666144,3.442199444,5.508999596
2.990866035,1.985484766,3.297200935,5.57397931
2.842951335,2.016303387,3.152202426,5.638959024
2.695036635,2.047122009,3.007203917,5.703938739
2.547121936,2.077940631,2.862205408,5.768918453
2.399207236,2.108759253,2.7172069,5.833898167
2.251292537,2.139577874,2.572208391,5.898877881
2.103377837,2.170396496,2.427209882,5.963857595
1.955463137,2.201215118,2.282211373,6.028837309
